navn x y z
sun -0.008647947560257333 -0.0016038052487075002 0.00021473113169279278
mercury -0.39470478678463916 -0.001499234445048278 0.03563417054707482
venus 0.07630505768049084 -0.7238040016777072 -0.014602756005673602
earth 0.4027750286789164 -0.9310352181258456 0.0002585885146487863
mars -1.6604775939194318 0.09069059760767982 0.04266782738261031
jupiter 4.275959365591235 2.4950273979353392 -0.10601638003442339
saturn 8.64193410338534 -4.565147954468657 -0.2647001805134571
uranus 12.776360606540006 14.90627163852931 -0.11015787229060728
neptune 29.801758723368053 -2.3230212207833922 -0.6389735175819065
pluto 16.72766585245503 -30.482541517985283 -1.5768140716860608
